"             ","","","","","","",1,"",""
" A3N0WM58SO9R24","","","","","","",1,"",""
"1234","","","","","","",1,"",""
"A16UAN46CNIRHY","","","","","","",1,"",""
