Worker ID,UPDATE-unique_structure_from_noise
A0017268R9SKD8U2Y3F,1
A06679102H1S1P5XTTRG1,1
A09354962P34U7ILOPYKP,1
A100Y89FZO4J0B,1
A10283W49EB612,1
A103XX92AATRSG,1
A10443E11ZWEHJ,1
A106MX66IVHW6T,1
A107RJSS561Y7R,1
A109CH3492UU42,1
A10AVMDRAU2NN5,1
A10AVWALIHR4UQ,1
A10BH9PYCYUKDJ,1
A10DEO061A6L3O,1
A10GAT1S9UVEYQ,1
A10IOQTQGFL72M,1
A10JXOU89D5RXR,1
A10M0S7FH5FZQ8,1
A10RNJJJXFDSZP,1
A10UUNGRUJH6GH,1
A10VJJ27GNLOD7,1
A10YCK3SJBI68T,1
A10YL4EPO1NNI5,1
A110KENBXU7SUJ,1
A110SC5K5Y3IHS,1
A111ZFNLXK1TCO,1
A1127U06EX2U6H,1
A115A6OQBJFVVS,1
A1160COTUR26JZ,1
A118KNQ9CESOQY,1
A1198W1SPF1R4,1
A11AW9628CEBAB,1
A11BACV6DY5S8M,1
A11BLQKVW1951L,1
A11BU9MZGJFJ2Y,1
A11ECAX3S2P9FA,1
A11GWWAXRJQ6Y2,1
A11IF41MTGAI3B,1
A11OLOT1OORG6P,1
A11PI63HUHQND8,1
A11S8IAAVDXCUS,1
A11SX02CICZN85,1
A11U9MQRLTBD7S,1
A11WCFPJSR5VZP,1
A11XR52SDVCMEL,1
A122E99M2DQY1G,1
A122LRCSBAD6DC,1
A122UC2R9WJK0C,1
A1258YAV4INLP1,1
A125YN3ITQTWXB,1
A127F80LLYOQ22,1
A12A5GVJX5RZC4,1
A12E7ZLYX3X2CV,1
A12HWPFXQPITHD,1
A12HZGOZQD5YK7,1
A12IHTKQFQIPD1,1
A12OPKFRUP3X96,1
A12Q6033OGVFCZ,1
A12RIEEJN4N5WF,1
A12T5APRYD27X9,1
A12TEFCQRSHNNI,1
A12TLV8ZV2L7X7,1
A12UD4PRX1D5IF,1
A12X5IZCXN492U,1
A12X7XMVFAOWWV,1
A12YM8XYCDEA3,1
A12ZPHBEIHN8U7,1
A132PL8Q6AWTL8,1
A13FSH028ER11Z,1
A13GUTDMGGZZDL,1
A13Q6PINZBL32L,1
A13V13Y2DJGFT4,1
A13XR0NV702JVZ,1
A13XXMDHOULEZ7,1
A13Z18UQTUZDX9,1
A141CB4BKDYKDF,1
A14294HZGND1AZ,1
A142YEQ6O81P55,1
A147F5PJTHOB8A,1
A14CLJWX219R2A,1
A14CXV72D0O481,1
A14EEWC3KEF63G,1
A14M1ZIP82L5AD,1
A14M2EERU7E8KD,1
A14PFRHG0A2YY9,1
A14WLAP6TCEKO0,1
A1506T1PAYRT16,1
A150CIC6SJN8JC,1
A1561P9VVA3C1C,1
A157XTOHSJGXU3,1
A15M2LM88W9X3Y,1
A15MK127K9F2DZ,1
A15QPJ7RZ06F1K,1
A15SUPIZ05ZFCD,1
A15UE8T6JQV11N,1
A160PJA1AHEPBX,1
A163IXTTEZCCJ6,1
A164130KKL3XW,1
A167FT5N6YG0JR,1
A167SYXGXFU7C8,1
A168B0VAQ1RXKB,1
A16FY9L7QTDNRW,1
A16HSMUJ7C7QA7,1
A16NH97UQZK3ZT,1
A16QZSBYXE5VY8,1
A1704AM6KQ202M,1
A171S8E9IFSHH2,1
A171UXH8M8F6HS,1
A173A97OFDAX9F,1
A17B2LOOCIKW87,1
A17CI6D7OHS6GI,1
A17FGZ1I5P9RZA,1
A17K1CHOI773VZ,1
A17NHH2B4WXHLX,1
